#Strata	Haul	Sex	Len	Freq
3	94	3	37	1
3	94	3	31	1
3	94	3	34	2
3	94	3	36	2
3	94	3	37	3
3	94	3	38	5
3	94	3	39	1
3	95	3	34	1
3	95	3	38	2
3	95	3	30	1
3	95	3	37	5
3	95	3	38	4
3	95	3	39	2
3	95	3	41	1
3	96	3	35	1
3	96	3	38	2
3	96	3	39	1
3	96	3	41	1
3	96	3	37	4
3	96	3	38	3
3	96	3	39	6
3	96	3	40	1
2	97	3	35	1
2	97	3	37	3
2	97	3	38	1
2	97	3	39	2
2	97	3	40	4
2	97	3	41	1
2	97	3	38	3
2	97	3	40	1
2	97	3	41	1
2	97	3	42	1
3	98	3	35	1
3	98	3	36	2
3	98	3	37	1
3	98	3	35	1
3	98	3	36	7
3	98	3	37	2
3	98	3	38	2
3	98	3	39	3
3	98	3	41	1
2	99	3	32	1
2	99	3	38	2
2	99	3	39	1
2	99	3	36	2
2	99	3	37	2
2	99	3	38	3
2	99	3	39	2
2	99	3	40	1
2	99	3	36	1
2	99	3	37	1
2	100	3	34	1
2	100	3	37	2
2	100	3	38	2
2	100	3	39	1
2	100	3	40	1
2	100	3	34	1
2	100	3	35	1
2	100	3	36	3
2	100	3	37	1
2	100	3	38	2
2	100	3	39	2
2	100	3	40	2
2	100	3	41	1
2	101	3	31	1
2	101	3	35	1
2	101	3	36	2
2	101	3	37	1
2	101	3	38	3
2	101	3	39	3
2	101	3	29	1
2	101	3	35	1
2	101	3	36	2
2	101	3	37	1
2	101	3	38	2
2	101	3	39	3
2	101	3	43	1
2	102	3	34	1
2	102	3	35	3
2	102	3	36	1
2	102	3	38	3
2	102	3	39	1
2	102	3	40	4
2	102	3	36	1
2	102	3	37	1
2	102	3	38	2
2	102	3	39	1
3	103	3	31	1
3	103	3	34	1
3	103	3	38	3
3	103	3	39	1
3	103	3	32	1
3	103	3	35	1
3	103	3	37	3
3	103	3	38	2
3	103	3	39	5
3	103	3	40	2
3	104	3	31	1
3	104	3	38	2
3	104	3	39	1
3	104	3	29	1
3	104	3	37	2
