year type stratum sex age value 
2009 a 99 99 6 0.731083
2009 a 99 99 7 0.747616
2009 a 99 99 8 0.770406
2009 a 99 99 9 0.820237
2009 a 99 99 10 0.822506
2009 a 99 99 11 0.938644
2009 a 99 99 12 0
2009 a 99 99 13 2.58
2009 a 99 99 14 0
2009 a 99 99 15 0
